"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.905700000E-1,-4.223955497E-2,1.299046665E-2,-8.989509344E-3,4.509704543E-2
6.005460000E-1,-4.973466218E-2,1.212654054E-2,1.171255767E-2,5.251450861E-2
6.105220000E-1,-3.733154833E-2,2.083947659E-3,3.606562614E-3,3.756320850E-2
6.204980000E-1,8.936007321E-3,-2.595286667E-3,4.975395799E-3,1.055188623E-2
6.304740000E-1,1.411342442E-2,6.697400808E-3,4.045045316E-2,4.336223112E-2
6.404490000E-1,2.823591202E-2,2.403234869E-2,5.556842923E-2,6.680322476E-2
6.504250000E-1,1.612077355E-2,2.746203303E-2,1.422335207E-2,3.487615722E-2
6.604010000E-1,4.141875207E-3,6.222606897E-3,-2.791577697E-2,2.889924862E-2
6.703770000E-1,-1.819945872E-2,-1.211543083E-3,-6.977657855E-2,7.212114148E-2
6.803530000E-1,-7.403013557E-3,-1.688909769E-2,-6.078356087E-2,6.351919004E-2
6.903290000E-1,3.121813819E-2,-4.096646994E-2,-4.633099794E-2,6.927759509E-2
7.003050000E-1,-5.642270744E-3,-2.694221556E-2,-4.775421023E-3,2.793783894E-2
7.102800000E-1,-3.683117285E-2,-3.152263194E-2,8.065064549E-3,4.914526309E-2
7.202560000E-1,-2.118723974E-2,-1.815560460E-2,-4.521301031E-2,5.312947776E-2
7.302320000E-1,-5.372027054E-2,-2.700331897E-2,-6.614896595E-2,8.939089662E-2
7.402080000E-1,-4.426956207E-2,-4.245078564E-2,-1.803398252E-2,6.393033593E-2
7.501840000E-1,-7.244232416E-2,-5.574823111E-2,-4.561588347E-2,1.021595048E-1
7.601600000E-1,-8.332063034E-2,-4.908679068E-2,-8.844322979E-2,1.310497820E-1
7.701360000E-1,-1.055872661E-1,-5.046761066E-2,-1.205169618E-1,1.679880608E-1
7.801120000E-1,-5.629669994E-2,-7.094192863E-2,-1.218127048E-1,1.517906806E-1
7.900870000E-1,-3.718975335E-2,-6.031402946E-2,-9.307831764E-2,1.169804818E-1
8.000630000E-1,-9.603759348E-3,-5.448172420E-2,-1.090909177E-1,1.223164698E-1
8.100390000E-1,5.320381522E-3,-5.042872667E-2,-1.016269469E-1,1.135755223E-1
8.200150000E-1,1.790358961E-2,-4.821847916E-2,-7.606175065E-2,9.182020565E-2
8.299910000E-1,-1.407307863E-2,-5.777487606E-2,-1.047821045E-1,1.204793645E-1
8.399670000E-1,-1.758652434E-2,-3.589751869E-2,-1.385392499E-1,1.441909895E-1
8.499430000E-1,-9.992891550E-3,-3.208279520E-2,-2.088186890E-1,2.115051028E-1
8.599180000E-1,5.158559829E-3,-2.971291870E-2,-2.060073477E-1,2.082030153E-1
8.698940000E-1,4.188652933E-2,-3.737335593E-2,-1.521340263E-1,1.621604484E-1
8.798700000E-1,4.498760015E-2,-3.797474205E-2,-1.231341755E-1,1.364843961E-1
8.898460000E-1,6.601272583E-2,-8.731354773E-3,-1.034395838E-1,1.230189580E-1
8.998220000E-1,8.549944907E-2,-2.092016816E-2,-7.303230822E-2,1.143745045E-1
9.097980000E-1,7.667687774E-2,-3.808174610E-2,-6.972161472E-2,1.104113514E-1
9.197740000E-1,9.771837562E-2,-4.299253017E-2,-6.643138647E-2,1.257392846E-1
9.297504167E-1,8.251459166E-2,-6.576655805E-2,-8.076700509E-2,1.328804241E-1
9.397254167E-1,5.988279730E-2,-6.687811375E-2,-6.518300593E-2,1.109389732E-1
9.497014167E-1,4.567318618E-2,-3.690090090E-2,-9.637380838E-3,5.950290357E-2
9.596774167E-1,2.778903857E-2,-2.122802407E-2,-6.437199712E-3,3.555695727E-2
9.696534167E-1,5.872724131E-2,-7.809833586E-3,1.455313504E-2,6.100554165E-2
9.796294167E-1,7.479261249E-2,-1.227915287E-3,1.970102370E-2,7.735355838E-2
9.896054167E-1,6.997626096E-2,2.866100460E-2,7.384448647E-3,7.597802554E-2
9.995814167E-1,5.538541138E-2,3.624981344E-2,-1.793516457E-2,6.858033899E-2
1.009556417E0,3.065037355E-2,2.581604183E-2,-5.822657347E-2,7.068413734E-2
1.019532417E0,-3.697340637E-3,2.957463205E-2,-8.314974546E-2,8.833011581E-2
1.029508417E0,-4.034666508E-2,3.889772505E-2,-6.413869321E-2,8.517428229E-2
1.039484417E0,-1.382457197E-2,5.785410583E-2,-2.764212728E-2,6.559194731E-2
1.049460417E0,-1.224830881E-2,6.389632612E-2,3.075226128E-2,7.196153927E-2
1.059436417E0,1.166271016E-2,7.301856726E-2,9.525348186E-2,1.205858855E-1
1.069412417E0,2.163966805E-2,8.690745860E-2,1.059690893E-1,1.387466377E-1
1.079388417E0,2.088040709E-2,7.032738626E-2,4.750511885E-2,8.739947926E-2
1.089363417E0,-6.157410443E-3,5.533629477E-2,-2.509040236E-2,6.107002139E-2
1.099339417E0,-2.124863550E-2,6.528240860E-2,-6.440415680E-2,9.413390885E-2
1.109315417E0,-4.843716502E-2,3.516661674E-2,-3.365715802E-2,6.867062089E-2
1.119291417E0,-4.509182677E-2,5.048836827E-2,5.230392873E-2,8.554559681E-2
1.129267417E0,-2.118782446E-2,4.874706745E-2,1.171302545E-1,1.286261910E-1
1.139243417E0,-2.151190639E-3,4.068843484E-2,1.171957433E-1,1.240766642E-1
1.149219417E0,-9.449539036E-3,1.913530558E-2,6.407320440E-2,6.753391170E-2
1.159194417E0,-2.666534990E-2,2.397183001E-2,1.490221381E-2,3.882995617E-2
1.169170417E0,-5.392843142E-2,1.567199975E-2,-4.202393889E-2,7.014198979E-2
1.179146417E0,-3.025480941E-2,2.910714716E-2,-8.616164625E-2,9.584575521E-2
1.189122417E0,9.850804210E-3,2.814411074E-2,-8.061380804E-2,8.595181999E-2
1.199098417E0,2.394624844E-2,1.688208103E-2,-6.295112371E-2,6.943537608E-2
1.209074417E0,5.562032327E-2,2.539065689E-2,-6.125718534E-2,8.654911076E-2
1.219050417E0,3.867099926E-2,7.058174014E-3,-5.822949708E-2,7.025623342E-2
1.229026417E0,5.094708234E-2,2.454164118E-2,-6.828086078E-2,8.865761840E-2
1.239001417E0,3.493433610E-2,4.950252771E-3,-7.204471350E-2,8.022065559E-2
1.248977417E0,3.404292807E-2,7.653420568E-3,-1.814274073E-2,3.932753284E-2
1.258953417E0,2.462277129E-2,-3.458043337E-3,-1.463207245E-2,2.885024218E-2
1.268929417E0,2.955138937E-2,-4.228852540E-2,-3.453657925E-2,6.208364761E-2
1.278905417E0,9.913661778E-3,-4.969314694E-2,-3.242631912E-2,6.015941917E-2
1.288881417E0,4.117170721E-2,-4.396462977E-2,-7.671780825E-2,9.753778882E-2
1.298857417E0,1.745686233E-2,-6.208018094E-2,-1.173787612E-1,1.339270864E-1
1.308832417E0,-2.492565706E-2,-3.628343493E-2,-1.209613502E-1,1.287222757E-1
1.318808417E0,-3.289497346E-3,-2.482406169E-2,-1.165794468E-1,1.192385099E-1
1.328784417E0,-8.478755057E-3,-2.693987668E-2,-5.835988998E-2,6.483458183E-2
1.338760417E0,5.129908472E-3,-1.339567870E-2,-3.443483770E-2,3.730305907E-2
1.348736417E0,4.248060644E-2,1.091002733E-2,-5.145140469E-2,6.760826624E-2
1.358712417E0,8.475875303E-2,2.735327482E-3,-8.334796607E-2,1.189050532E-1
1.368688417E0,1.196783249E-1,4.172865450E-3,-8.551845253E-2,1.471520302E-1
1.378663417E0,9.673253506E-2,3.477339149E-3,-1.127173609E-1,1.485748251E-1
1.388639417E0,8.902605101E-2,2.181917757E-2,-1.167098397E-1,1.484011488E-1
1.398615417E0,6.923673436E-2,9.126918912E-3,-1.150854832E-1,1.346168432E-1
1.408591417E0,2.409988403E-2,1.747323453E-2,-1.325353289E-1,1.358371515E-1
