"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.157585417E-1,-6.603585157E0,1.839112314E0,3.292602802E0,7.604663322E0
7.257345417E-1,-7.129263877E0,6.655562519E-1,6.211503035E0,9.479036792E0
7.357105417E-1,-7.296984242E0,-1.373263638E-1,9.613682658E0,1.207011731E1
7.456865417E-1,-6.564483656E0,-8.590777476E-1,1.050001355E1,1.241292652E1
7.556615417E-1,-5.744695836E0,-1.297502270E0,1.018555029E1,1.176564818E1
7.656375417E-1,-3.901736200E0,-1.889970665E0,9.065864625E0,1.004915100E1
7.756135417E-1,-1.681557334E0,-2.059883735E0,7.688322598E0,8.135174272E0
7.855895417E-1,5.285872443E-2,-1.480646419E0,6.399612640E0,6.568877363E0
7.955655417E-1,1.351773494E0,-1.185035462E0,4.814120820E0,5.138809190E0
8.055405417E-1,2.080377056E0,-1.060674102E0,3.260168297E0,4.010198944E0
8.155165417E-1,2.234505714E0,-1.197197086E0,1.569789707E0,2.981700249E0
8.254925417E-1,2.041493803E0,-1.839477472E0,-1.057025732E0,2.944261829E0
8.354685417E-1,1.598402911E0,-2.587316912E0,-3.444710516E0,4.595120369E0
8.454445417E-1,1.665998624E0,-3.106734434E0,-5.727334283E0,6.725303581E0
8.554205417E-1,2.008561115E0,-3.216361542E0,-7.477553862E0,8.384098704E0
8.653955417E-1,2.627818529E0,-3.603897161E0,-8.704202058E0,9.780421179E0
8.753715417E-1,3.460336322E0,-4.477001648E0,-9.340363333E0,1.092061621E1
8.853475417E-1,4.026702308E0,-5.083867496E0,-9.503212967E0,1.150526388E1
8.953235417E-1,4.373485174E0,-5.180952911E0,-1.013808727E1,1.219632974E1
9.052995417E-1,4.458321841E0,-4.987144024E0,-1.118916872E1,1.303632371E1
9.152755417E-1,4.232547981E0,-4.612807032E0,-1.221769746E1,1.372824033E1
9.252505417E-1,4.123814328E0,-4.023176437E0,-1.286109818E1,1.409253844E1
9.352265417E-1,4.999517902E0,-3.711798755E0,-1.378246500E1,1.512378824E1
9.452025417E-1,6.274631914E0,-3.622036101E0,-1.363950993E1,1.544429935E1
9.551785417E-1,6.769784076E0,-3.814517670E0,-1.321669309E1,1.533171542E1
9.651545417E-1,6.575615585E0,-4.239168198E0,-1.274361241E1,1.495355893E1
9.751295416E-1,6.042274089E0,-4.629999308E0,-1.193811051E1,1.415854697E1
9.851055417E-1,5.644444154E0,-4.865917503E0,-1.079136744E1,1.311451540E1
9.950815417E-1,5.518859410E0,-5.088333600E0,-8.720721611E0,1.150651700E1
1.005057542E0,5.643251322E0,-5.259755836E0,-6.166560166E0,9.876121770E0
1.015033542E0,5.173243942E0,-5.037799038E0,-1.519952134E0,7.379168417E0
1.025009542E0,6.433482637E0,-3.896542118E0,6.634028685E-1,7.550684915E0
1.034984542E0,8.003814965E0,-3.627937696E0,3.235484276E0,9.364365671E0
1.044960542E0,7.827598597E0,-3.284074346E0,6.252769175E0,1.054293918E1
1.054936542E0,6.570738423E0,-3.533350797E0,9.686751804E0,1.222670568E1
1.064912542E0,4.842855500E0,-4.740088638E0,1.362518659E1,1.521733877E1
1.074888542E0,3.557228487E0,-5.397843681E0,1.708734403E1,1.826931627E1
1.084863542E0,2.751472229E0,-4.876075578E0,1.895709882E1,1.976659577E1
1.094839542E0,2.285026388E0,-3.146466265E0,1.938210720E1,1.976835034E1
1.104815542E0,1.579966494E0,-1.690509567E0,1.886691605E1,1.900827814E1
1.114791542E0,5.914867938E-1,-7.376456966E-1,1.796423576E1,1.798910070E1
1.124767542E0,-2.596195909E-1,-8.902458921E-2,1.709331754E1,1.709552083E1
1.134743542E0,-7.855260605E-1,2.765895264E-1,1.653380917E1,1.655476967E1
1.144718542E0,-1.422297785E0,7.317707066E-1,1.558363429E1,1.566550596E1
1.154694542E0,-2.349344006E0,1.739462457E0,1.337835106E1,1.369399226E1
1.164670542E0,-3.252813669E0,2.726988183E0,1.020182777E1,1.104964032E1
1.174646542E0,-4.053469107E0,3.662160864E0,6.674621810E0,8.625115090E0
1.184622542E0,-4.683383802E0,4.854536190E0,3.134312242E0,7.438045354E0
1.194597542E0,-5.086419221E0,5.936363472E0,-3.453195995E-1,7.825044242E0
1.204573542E0,-5.887718146E0,7.235865635E0,-3.249671960E0,9.878428230E0
1.214549542E0,-7.158950776E0,8.553015280E0,-5.722132015E0,1.253584626E1
1.224525542E0,-8.293608820E0,9.223347684E0,-7.780065411E0,1.464184099E1
1.234501542E0,-9.312301961E0,9.237238914E0,-9.063718112E0,1.594354216E1
1.244477542E0,-1.010777413E1,8.834112571E0,-9.430261350E0,1.640544032E1
1.254452542E0,-1.064191261E1,8.222220749E0,-8.644867437E0,1.598714956E1
1.264428542E0,-1.063038658E1,7.482642109E0,-7.289015656E0,1.490385188E1
1.274404542E0,-1.033158918E1,6.813765078E0,-6.165477846E0,1.382686684E1
1.284380542E0,-1.000569929E1,6.013829724E0,-5.395556835E0,1.286048987E1
1.294356542E0,-9.511017246E0,5.269514839E0,-4.928695257E0,1.193814360E1
1.304332542E0,-8.751925862E0,4.675343004E0,-4.441787669E0,1.087127022E1
1.314307542E0,-7.899689503E0,4.119871550E0,-3.549375091E0,9.590437914E0
1.324283542E0,-7.417591835E0,3.323310040E0,-2.425053754E0,8.482095494E0
