"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.081900834E-1,7.266802669E-1,2.880776972E-2,-1.555496773E0,1.717109289E0
6.181660834E-1,9.283788013E-1,1.435538220E-1,-1.403991323E0,1.689285805E0
6.281420834E-1,9.068297651E-1,9.412102237E-2,-1.166158165E0,1.480244525E0
6.381170833E-1,6.954152048E-1,-3.063984856E-2,-1.118300459E0,1.317246000E0
6.480930833E-1,4.569444081E-1,-2.245868754E-1,-1.407699627E0,1.496948795E0
6.580690834E-1,2.565193972E-1,-4.242421004E-1,-1.789332190E0,1.856742644E0
6.680450834E-1,5.010362148E-2,-4.816429009E-1,-1.916441887E0,1.976673914E0
6.780210834E-1,-6.590981483E-3,-3.915587962E-1,-1.705237534E0,1.749627612E0
6.879970834E-1,8.947000086E-2,-2.887175287E-1,-1.420599754E0,1.452400204E0
6.979730833E-1,2.983942321E-1,-2.321113649E-1,-1.371794799E0,1.422932104E0
7.079490833E-1,3.910983279E-1,-1.780632117E-1,-1.508577545E0,1.568588735E0
7.179250833E-1,3.419770387E-1,-1.053311580E-1,-1.766801113E0,1.802672772E0
7.279010833E-1,2.954913819E-1,-2.883919850E-2,-1.980485855E0,2.002616059E0
7.378760834E-1,2.609928095E-1,-3.465352356E-3,-1.913462731E0,1.931183284E0
7.478520834E-1,1.708547643E-1,4.027445197E-2,-1.591247819E0,1.600900685E0
7.578280833E-1,2.067926288E-1,1.506242752E-1,-1.290600947E0,1.315713369E0
7.678040833E-1,2.769215021E-1,1.977148265E-1,-1.265838574E0,1.310772278E0
7.777800833E-1,2.025659689E-1,2.287658805E-1,-1.195005403E0,1.233452356E0
7.877560833E-1,1.115792003E-1,3.093425587E-1,-8.937200153E-1,9.523015291E-1
7.977320833E-1,1.232379636E-1,2.848807320E-1,-5.626103193E-1,6.425534985E-1
8.077080833E-1,1.182426873E-1,2.263153124E-1,-3.289906651E-1,4.164550533E-1
8.176840833E-1,3.925352812E-2,3.229094146E-1,-1.886264992E-1,3.760203262E-1
8.276600833E-1,-9.896646380E-2,4.465631153E-1,-1.357150447E-1,4.771074829E-1
8.376350833E-1,-3.591652215E-1,5.794130243E-1,-8.067988157E-3,6.817508354E-1
8.476110833E-1,-6.712553868E-1,6.626569100E-1,4.484422642E-1,1.044412964E0
8.575870833E-1,-8.027580974E-1,6.650767802E-1,1.099948972E0,1.515465416E0
8.675630833E-1,-7.942945451E-1,5.736992714E-1,1.423923896E0,1.728465776E0
8.775390833E-1,-7.500360927E-1,4.425036858E-1,1.399363836E0,1.648205933E0
8.875150833E-1,-7.354268244E-1,3.487967925E-1,1.451633266E0,1.664256878E0
8.974910833E-1,-5.633475070E-1,2.568681836E-1,1.881859699E0,1.981095052E0
9.074670833E-1,-3.560523100E-1,2.612975956E-1,2.198433802E0,2.242356096E0
9.174430833E-1,-2.148636867E-1,2.596511659E-1,2.373591825E0,2.397399275E0
9.274190833E-1,1.225607099E-1,9.970387079E-2,2.639575818E0,2.644299999E0
9.373940833E-1,4.952313915E-1,-2.488112321E-1,2.880430816E0,2.933264879E0
9.473700833E-1,6.127310438E-1,-5.617678817E-1,3.362712087E0,3.463936354E0
9.573460833E-1,6.482536098E-1,-6.864718153E-1,4.095839494E0,4.203257957E0
9.673220833E-1,8.106986162E-1,-8.459296985E-1,4.902868690E0,5.040927563E0
9.772980833E-1,1.078623300E0,-1.082588662E0,5.520514172E0,5.728132607E0
9.872740833E-1,1.261862175E0,-1.337934743E0,5.641826355E0,5.934018044E0
9.972500833E-1,1.291405378E0,-1.461336282E0,5.179780544E0,5.534741011E0
1.007226083E0,1.285752582E0,-1.440170092E0,3.898873111E0,4.350685134E0
1.017202083E0,1.233261542E0,-1.242524848E0,1.750830029E0,2.475925649E0
1.027178083E0,1.182287563E0,-8.152832718E-1,-3.795930541E-1,1.485456691E0
1.037153083E0,1.140458044E0,-2.719387972E-1,-1.959738180E0,2.283674450E0
1.047129083E0,1.138668357E0,4.430230647E-2,-2.728423675E0,2.956826689E0
1.057105083E0,1.200391273E0,-1.463908911E-2,-2.674515270E0,2.931584118E0
1.067081083E0,1.265930229E0,-4.017942741E-1,-1.974079061E0,2.379286894E0
1.077057083E0,1.355305651E0,-8.144808146E-1,-1.152953982E0,1.956919848E0
1.087033083E0,1.396375763E0,-1.094241871E0,-5.649024278E-1,1.861812368E0
1.097009083E0,1.404690357E0,-1.247937615E0,-2.227496803E-1,1.892120691E0
1.106985083E0,1.436076457E0,-1.206503222E0,-8.806316078E-2,1.877690266E0
1.116961083E0,1.407605340E0,-9.853791406E-1,-7.928005815E-2,1.720061096E0
1.126937083E0,1.394163761E0,-7.425924410E-1,-1.978013653E-1,1.591936401E0
1.136912083E0,1.421167080E0,-6.009537283E-1,-4.119889677E-1,1.597058597E0
1.146888083E0,1.368572252E0,-5.892027982E-1,-7.726119000E-1,1.678415650E0
1.156864083E0,1.229412174E0,-5.061246081E-1,-1.315431148E0,1.870287550E0
1.166840083E0,9.470790741E-1,-3.491838782E-1,-1.937404155E0,2.184587607E0
1.176816083E0,6.833366114E-1,-1.092948394E-1,-2.531156745E0,2.624051972E0
1.186792083E0,6.171608944E-1,9.804099575E-2,-3.083726810E0,3.146405989E0
