"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.874591250E-1,-5.479560274E-1,1.657308346E0,-7.569817078E-1,1.902616111E0
6.974351250E-1,-5.161244432E-1,1.671265065E0,-5.863734037E-1,1.844815743E0
7.074111250E-1,-5.057550640E-1,1.674109151E0,-4.882331514E-1,1.815709570E0
7.173871250E-1,-4.962274647E-1,1.695302822E0,-4.972326010E-1,1.835084089E0
7.273631250E-1,-4.260647506E-1,1.763336638E0,-5.797806680E-1,1.904477066E0
7.373391250E-1,-3.681230097E-1,1.804603363E0,-6.746809781E-1,1.961454121E0
7.473151250E-1,-3.071998465E-1,1.894117218E0,-7.789415109E-1,2.070942215E0
7.572911250E-1,-2.169577208E-1,2.018725769E0,-8.656966496E-1,2.207205262E0
7.672671250E-1,-1.699977817E-1,2.130597184E0,-8.386024064E-1,2.295995993E0
7.772431250E-1,-1.218520273E-1,2.235040003E0,-7.597129422E-1,2.363771454E0
7.872191250E-1,-8.474004194E-2,2.323498582E0,-5.509632504E-1,2.389432368E0
7.971951250E-1,-7.494822152E-2,2.342620585E0,-3.161846781E-1,2.365049935E0
8.071711250E-1,-7.240442690E-2,2.337806280E0,-5.367568552E-2,2.339543050E0
8.171471250E-1,-7.950466432E-2,2.323820764E0,1.457114446E-1,2.329741565E0
8.271231250E-1,-8.546867810E-2,2.313741333E0,3.073676616E-1,2.335632405E0
8.370991250E-1,-1.765541185E-1,2.295366458E0,4.643823588E-1,2.348516449E0
8.470751250E-1,-2.852379603E-1,2.197012490E0,5.150601768E-1,2.274535461E0
8.570511250E-1,-4.537882638E-1,2.079028981E0,5.405353260E-1,2.195555449E0
8.670271250E-1,-6.183212744E-1,2.082919572E0,7.693397981E-1,2.304942270E0
8.770031250E-1,-6.563751000E-1,2.102885036E0,1.023029435E0,2.428897481E0
8.869791250E-1,-6.418689620E-1,1.980646800E0,9.006647533E-1,2.268513722E0
8.969551250E-1,-4.853812451E-1,1.932247349E0,1.095934274E0,2.273817650E0
9.069311250E-1,-1.889558801E-1,1.594598274E0,1.444687359E0,2.159992950E0
9.169071250E-1,1.173042640E-1,1.171930097E0,2.139585670E0,2.442336439E0
9.268831250E-1,3.924676728E-1,8.535484743E-1,2.978148900E0,3.122810712E0
9.368591250E-1,6.019320405E-1,1.351920113E-1,3.277372559E0,3.334931776E0
9.468351250E-1,4.484282309E-1,-2.306315808E-1,3.383922277E0,3.421287591E0
9.568111250E-1,2.039257937E-1,-6.113937856E-1,3.340136572E0,3.401749610E0
9.667871250E-1,3.618312594E-1,-8.150259943E-1,3.262538173E0,3.382210012E0
9.767631250E-1,4.926749888E-1,-1.071676662E0,2.411192345E0,2.684225780E0
9.867391250E-1,4.861141936E-1,-1.269862189E0,1.453951687E0,1.990686439E0
9.967151250E-1,5.847503628E-1,-1.031767661E0,1.429636626E0,1.857508647E0
1.006691125E0,5.946408184E-1,-9.198336804E-1,1.340533245E0,1.731104007E0
1.016667125E0,6.330809623E-1,-9.269590974E-1,6.915273911E-1,1.318428916E0
1.026643125E0,5.533895525E-1,-9.918484269E-1,1.858291912E-1,1.150884784E0
1.036619125E0,9.203885081E-1,-9.754412860E-1,-5.506457466E-1,1.449762548E0
1.046595125E0,6.787034970E-1,-1.020908212E0,-5.944694585E-1,1.362455853E0
1.056571125E0,5.320068696E-1,-7.871119715E-1,-5.138784546E-1,1.080114638E0
1.066547125E0,9.205001168E-1,-6.868443561E-1,-3.012006032E-1,1.187348912E0
1.076523125E0,1.228843679E0,-7.933756551E-1,-2.399188596E-1,1.482249229E0
1.086499125E0,1.438180431E0,-8.789053635E-1,-2.987985671E-1,1.711758795E0
1.096475125E0,1.230790217E0,-8.157082182E-1,-1.864232683E-1,1.488280246E0
1.106451125E0,9.821543281E-1,-6.519016877E-1,-1.079419398E-1,1.183745917E0
1.116427125E0,1.083526921E0,-2.339307261E-1,-1.922570354E-1,1.125040862E0
1.126403125E0,8.790896970E-1,-7.339660437E-1,-1.888177031E-1,1.160670915E0
1.136379125E0,4.390765231E-1,-1.161541349E0,-3.556007588E-1,1.291672714E0
1.146355125E0,4.442156409E-1,-7.478794934E-1,-4.988791770E-1,1.002762038E0
1.156330125E0,4.777985027E-1,-5.727783349E-1,-9.356965917E-1,1.196617960E0
1.166306125E0,4.385948587E-1,-3.975631557E-1,-1.394770848E0,1.515192275E0
1.176282125E0,4.792480275E-1,-2.662151040E-1,-1.722959275E0,1.808075722E0
1.186258125E0,6.303802796E-1,-7.281683832E-3,-2.029744554E0,2.125392970E0
1.196234125E0,7.201723889E-1,2.506584406E-1,-2.467159554E0,2.582315664E0
1.206210125E0,6.179211786E-1,4.000036374E-1,-2.906957880E0,2.998705322E0
1.216186125E0,6.786573040E-1,6.376634252E-1,-3.178682669E0,3.312282278E0
1.226162125E0,4.641553406E-1,7.016468748E-1,-3.160169799E0,3.270232664E0
1.236138125E0,3.194775376E-1,7.248712845E-1,-3.045086070E0,3.146435039E0
1.246114125E0,4.169189744E-1,5.241913350E-1,-2.646242813E0,2.729688446E0
1.256090125E0,6.457606494E-1,4.426741321E-1,-2.113904698E0,2.254231638E0
1.266066125E0,5.847415189E-1,5.300277333E-1,-1.665741931E0,1.843243940E0
1.276042125E0,3.273646275E-1,9.001940525E-1,-1.522304469E0,1.798590511E0
1.286018125E0,7.356400285E-1,1.033883768E0,-1.425412597E0,1.908371811E0
1.295994125E0,9.457136030E-1,1.149835662E0,-1.486986701E0,2.104192415E0
1.305970125E0,1.130357052E0,1.348898857E0,-1.497560222E0,2.310827083E0
1.315946125E0,1.179167635E0,1.386918038E0,-1.420150688E0,2.308853813E0
1.325922125E0,1.236916783E0,1.434087819E0,-1.552865526E0,2.449073772E0
1.335898125E0,1.245904685E0,1.579369785E0,-1.543843272E0,2.535771963E0
1.345874125E0,1.235496494E0,1.579156362E0,-1.500177435E0,2.504140320E0
1.355850125E0,1.087892160E0,1.457796670E0,-1.436928688E0,2.318069140E0
1.365826125E0,5.806101321E-1,1.152637209E0,-1.092058740E0,1.690642763E0
1.375802125E0,6.468472083E-1,1.349417066E0,-7.965702814E-1,1.695246868E0
1.385778125E0,1.018511146E0,1.302950705E0,-5.229042166E-1,1.734495406E0
1.395754125E0,1.436306545E0,1.232448779E0,-1.163993526E-1,1.896168582E0
1.405730125E0,1.435518340E0,1.404284122E0,3.835826093E-1,2.044471183E0
1.415706125E0,7.719768193E-1,1.768667399E0,8.897292906E-1,2.125029597E0
1.425682125E0,2.422454667E-1,2.021955186E0,1.145842014E0,2.336651356E0
1.435658125E0,-6.714874481E-1,1.948022260E0,9.894500452E-1,2.285759723E0
1.445634125E0,-1.219446472E0,1.685205704E0,6.828501230E-1,2.189349733E0
1.455610125E0,-9.278111098E-1,1.582162854E0,6.850124234E-1,1.957885281E0
1.465586125E0,-3.391125608E-1,1.607581139E0,8.842551273E-1,1.865803199E0
1.475562125E0,1.741473314E-1,1.657285688E0,1.285044923E0,2.104343983E0
1.485538125E0,2.939678898E-1,1.900682910E0,1.893787435E0,2.699156070E0
1.495514125E0,-1.150140741E-1,1.760085148E0,2.109459060E0,2.749717348E0
1.505490125E0,-9.148513410E-1,1.344551598E0,2.230220436E0,2.760191147E0
1.515466125E0,-1.068124259E0,1.193714192E0,2.587318667E0,3.043034815E0
1.525442125E0,-1.491667690E0,-2.719287108E-1,3.362944806E0,3.688958592E0
1.535418125E0,-1.290049555E0,-8.053394969E-1,4.386344370E0,4.642501103E0
1.545394125E0,-9.258083653E-1,-1.347855129E0,5.176306129E0,5.428441739E0
1.555370125E0,-9.015715103E-1,-2.200116923E0,5.491764582E0,5.984381663E0
1.565346125E0,-7.493537226E-1,-2.305123561E0,5.235283484E0,5.769169680E0
1.575322125E0,-4.809755143E-1,-1.868349415E0,4.308744802E0,4.720947866E0
1.585297125E0,-6.629136027E-1,-1.325273182E0,2.671738427E0,3.055157881E0
1.595273125E0,-1.247850784E0,-7.919546355E-1,7.367848402E-1,1.651416248E0
1.605249125E0,-1.709148006E0,-2.451307753E-1,-9.985769641E-1,1.994600701E0
1.615225125E0,-2.033369536E0,3.799535349E-2,-2.051174600E0,2.888486204E0
1.625201125E0,-1.816525689E0,6.419307232E-2,-2.229936261E0,2.876891041E0
1.635177125E0,-1.305222787E0,-1.477379434E-1,-1.566379611E0,2.044254903E0
1.645153125E0,-9.087758647E-1,-4.395502572E-1,-5.554726231E-1,1.152227337E0
1.655129125E0,-6.619403337E-1,-7.982579340E-1,2.374431485E-1,1.063842086E0
1.665105125E0,-2.793096511E-1,-1.164425635E0,6.777794176E-1,1.375967252E0
1.675081000E0,-6.613975659E-2,-1.158207998E0,9.303978449E-1,1.487097974E0
1.685057000E0,9.780425660E-2,-1.018017787E0,9.117323631E-1,1.370102839E0
1.695033000E0,2.931368543E-1,-7.847232378E-1,6.370336801E-1,1.052393313E0
1.705009000E0,3.052274345E-1,-6.281460585E-1,1.648558134E-1,7.175713879E-1
1.714985000E0,2.622493762E-1,-4.650582969E-1,-3.511369944E-1,6.390235861E-1
1.724961000E0,2.249833898E-1,-2.628095394E-1,-9.287559468E-1,9.910973657E-1
1.734937000E0,2.713162149E-1,-8.460906431E-2,-1.525594697E0,1.551840959E0
1.744913000E0,1.457255510E-1,1.793134926E-1,-2.132760215E0,2.145240173E0
1.754889000E0,6.503865279E-2,4.768103233E-1,-2.314022731E0,2.363531110E0
1.764865000E0,9.091981798E-2,4.935228351E-1,-2.513695205E0,2.563297639E0
1.774841000E0,6.135995016E-3,4.835059699E-1,-2.630559411E0,2.674632402E0
1.784817000E0,1.376867259E-1,5.602771340E-1,-2.450556970E0,2.517557857E0
1.794793000E0,2.801380554E-1,5.914332917E-1,-2.294255633E0,2.385766036E0
1.804769000E0,4.669367149E-1,6.668938024E-1,-2.106910259E0,2.258727093E0
1.814745000E0,5.128507333E-1,7.025463228E-1,-2.073996282E0,2.249010402E0
1.824721000E0,3.650448161E-1,6.956669274E-1,-2.194081720E0,2.330494536E0
1.834697000E0,1.384894755E-1,7.258644341E-1,-2.329206780E0,2.443616733E0
1.844673000E0,-2.792736176E-1,6.802422649E-1,-2.519085168E0,2.624216717E0
1.854649000E0,-5.603842477E-1,6.166344988E-1,-2.680927327E0,2.807425857E0
1.864625000E0,-6.068855824E-1,5.379514414E-1,-2.674800614E0,2.795042073E0
1.874601000E0,-4.544919031E-1,5.418151353E-1,-2.411734382E0,2.513282567E0
